,Compound ID,EC50 (nM),SMILES
0,5152658,>10000,CCn1c(C)nc2cc(S(=O)(=O)C(F)(F)F)ccc21
1,6537346,>=10000,Cc1ccc(S(=O)(=O)C(F)(F)F)cc1NC(=O)c1cccnc1
2,7728191,<10000,CC(=O)Nc1cc(S(=O)(=O)C(F)(F)F)ccc1C
3,7933718,10000,O=S(=O)(Nc1cccc(Cl)c1N1CCOCC1)c1ccc(Br)cc1
4,AW01044SC,10000,CC(C)(C)OC(=O)N1CCCN(S(=O)(=O)c2ccc(N3C(=O)CC4(CCCC4)C3=O)c(Cl)c2)CC1
5,AW01156SC,10000,CC(C)(C)OC(=O)N1CCN(S(=O)(=O)c2ccc(N3C(=O)CC4(CCCC4)C3=O)c(Cl)c2)CC1
6,F6246-4124,10000,Cn1nc(C2CCN(CC(=O)OC(C)(C)C)CC2)n(C2CC2)c1=O
7,F6573-6515,<=10000,CC(C)(C)OC(=O)N1CCC(CC(=O)N2CCC3(CC2)CC3(F)F)CC1
8,HTS02030SC,10000,Cn1nc(-c2ccc(S(=O)(=O)NCC3CCN(C(=O)OC(C)(C)C)CC3)s2)cc1C(F)(F)F
9,HTS07075SC,10000,O=S(=O)(Nc1ccccc1N1CCOCC1)c1ccc2c(c1)OCC2
10,HTS07077SC,10000,Cc1ccc(S(=O)(=O)Nc2ccccc2N2CCOCC2)cc1
11,HTS07222SC,"10,000",Cn1nc(-c2ccc(S(=O)(=O)Nc3ccccc3N3CCOCC3)s2)cc1C(F)(F)F
12,HTS11118SC,10000,[K+].[I-]
13,NP-019416,10 000,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.[Zn+2]
14,SEW03441SC,1,CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O.CC(C)C1C(=O)N2CCCC2C2(O)OC(NC(=O)C3CC4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12.CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3CC4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12.CCC(C)C1C(=O)N2CCCC2C2(O)OC(NC(=O)C3CC4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12
